Date,Time,Site,Code,Size,Limestone_%,Limestone_ha,Floral_Diversity,Floral_Richness,Site_Size,Isolation,Site_Isolation,Distance_to_Closest_External_Patch,Day,Month,Wind_ms,Cloud_cover,Temp,Humidity,Radiation,FHD_Simp,Thermal_div_Simp,Mean_OI_Limestone,OI_S_New,OI_T_New,Mean_TPI_Limestone,TPI_S_New,TPI_T_New,Av_TPI_T,Av_TPI,Av_OI,Av_OI_T,Abundance,Richness,antiopa,aphrodite,archippus,atalanta,augustinus,baptisiae,bellona,bimacula,cocyta,comyntas,cybele,cymela,dion,egeremet,eurytheme,henrici,lineola,lucia,lucilius,lygdamus,origenes,pegala,philodice,plexippus,polios,progne,rapae,sassacus,selene,tharos,themistocles,tullia,Unidentified,vestris,Hill_q1
18-05-2021,2,1,11,0.0225,13.12,0.34,3.040406477,5,0.02589222,50548.64683,473358.4215,2125.704,18,5,3,0.1,26.4,0.325,2977,0.7643,0.9615,20.5574,25.64590138,52.69680682,0.895971429,0.911091713,0.94346754,0.985912118,0.88591829,20.69840079,42.70857732,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3.464101615
22-07-2021,67,1,12,0.022,13.42,0.34,3.584159485,7,0.02561951,50548.64683,473358.4215,2125.704,22,7,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,14.5006,18.1977368,32.76916037,0.8638,0.877304089,0.888306688,0.915873337,0.854499726,10.90172774,20.25155812,11,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,4.865502227
18-05-2021,2,2,21,0.0052,0,0,1.312586457,5,0.005160672,49016.9025,458461.806,4318.005,18,5,5,0.05,27.8,0.345,2957,0.865,0.9649,26.57725158,26.57725158,72.03246439,0.934448113,0.924257741,1.00816841,1.093087664,0.929052827,27.68830387,73.64240883,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA
28-07-2021,73,2,22,0.0049,0,0,2.020152732,3,0.004932199,49016.9025,458461.806,4318.005,28,7,2.7,0.05,23.7,0.645,3178,0.9187,0.933,2.722727434,2.722727434,10.32694917,0.799335442,0.793707488,0.818911347,0.875868993,0.80040357,2.977228867,11.24138908,25,10,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,7.784884283
17-05-2021,1,3,31,0.0057,19.75,0.14,1,1,0.007128733,44749.18128,414474.554,3963.789,17,5,2.2,0.25,25.5,0.3,2927,0.8311,0.943,15.5086,12.02963351,25.42871295,0.807457143,0.866550427,0.878106761,0.895821796,0.867521204,10.83845297,14.4843745,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
20-08-2021,96,3,32,0.0057,15.81,0.11,1.457569265,2,0.006873256,44749.18128,414474.554,3963.789,20,8,1.6,0.15,29.8,0.547,2689,0.8921,0.9405,43.2266,38.77963682,70.74204844,1.031228571,0.997360438,1.041432162,1.146715885,1.036505528,49.71606109,81.983192,10,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3.95925266
17-05-2021,1,4,41,0.0141,1.79,0.03,3.040408362,5,0.01435548,43273.78612,386662.92,652,17,5,6.5,0.3,27.2,0.3,2263,0.8204,0.9492,15.3340,14.1524149,23.16138802,0.825028571,0.871712641,0.870010398,0.900662989,0.861325538,11.38166597,15.59662577,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA
28-07-2021,73,4,42,0.0143,3.49,0.05,1,1,0.01488735,43273.78612,386662.92,652,28,7,1.8,0.15,22.5,0.596,1887,0.837,0.9529,9.9283,9.946271695,19.31345734,0.972771429,0.842090232,0.857637251,0.9218501,0.843531257,9.8847387,20.54659992,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2.828427125
19-05-2021,3,5,51,0.0224,3.37,0.08,1.542491357,2,0.02315898,41268.95567,379670.658,3027.791,19,5,1,0.05,25.1,0.421,2753,0.7752,0.9561,21.2566,20.19263664,30.94584944,0.927028571,0.906412732,0.895315816,0.969488838,0.90869058,20.30164393,33.71285543,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2.828427125
23-07-2021,68,5,52,0.0223,3.41,0.08,3.486006173,6,0.02329885,41268.95567,379670.658,3027.791,23,7,4,0.15,23.1,0.595,3039,0.7968,0.9598,15.0109,14.43236975,23.41207352,0.935257143,0.861483979,0.86046598,0.927492631,0.853226584,12.89638123,24.04290638,27,9,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,7.187106503
24-05-2021,8,6,61,0.0237,2.67,0.06,2.346202416,4,0.02434028,53456.57983,500830.358,16615.81,24,5,2,0.05,21.3,0.285,3307,0.7677,0.9675,9.6420,8.903956587,13.18500044,0.763742857,0.780006185,0.779598907,0.782148216,0.75297245,5.046751964,6.135845939,11,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.166436205
02-08-2021,78,6,62,0.0252,2.87,0.07,2.156892807,4,0.0257668,53456.57983,500830.358,16615.81,2,8,6.5,0,19,0.56,3006,0.7866,0.9567,5.1969,4.768072458,5.981425936,0.881514286,0.77843905,0.765953881,0.781922388,0.760596802,2.953365127,3.806266528,20,9,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,6.427170389
02-06-2021,17,7,71,0.0253,2.72,0.07,5.448110626,16,0.02598329,54069.557,485335.7005,761.5563,2,6,1.7,0.05,26.2,0.355,2832,0.6173,0.9652,34.6303,32.6629282,57.44189466,1.026171429,0.945642631,0.959931686,1.005376655,0.932087698,27.69235585,43.86864796,27,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,3.932407683
26-07-2021,71,7,72,0.024,2.73,0.07,9.933324972,19,0.02472765,54069.557,485335.7005,761.5563,26,7,2.8,0,27.9,0.541,2810,0.6312,0.9579,46.9197,44.7639266,58.55961453,1.017942857,1.005073813,0.969948714,1.082183923,1.024272062,51.63766528,70.94861011,36,10,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,6.396707231
