Site,Date,Species,Time,Code,lookup,Transect,OI_Site,OI_Transects,TPI_Site,TPI_Transects,Isolation,Floral_Diversity,Floral_Richness,Flora,Site_Size,Site_Isolation,Connectivity,Distance_to_Closest_External_Patch,Distance,Day,Month,Year,Wind_ms,Cloud_cover,Temp,Humidity,Radiation,FHD_Simp,Thermal_div_Simp,T_Code,OI_Patch_old,TPI_Site_old,Sp_Code,OI_old,TPI_Patch_old,Abundance,Occurrence,OI_Limestone,Limestone_percent,Limestone_ha,Limestone_km2,Size_fix,Size
1,18-05-2021,antiopa,2,11,antiopa11,1,19.170462,43.18713984,0.900468458,0.974384394,57883.369,3.040406477,5,6.197275,0.02589222,473358.4215,473.3584215,2125.704,2.125704,18,5,2021,3,0.1,26.4,0.325,2977,0.7643,0.9615,110,27.85979596,0.883087589,1,15.4306467,0.94277391,0,0,12.11,13.12,0.34,0.0034,0.02249222,0.0225
1,18-05-2021,aphrodite,2,11,aphrodite11,1,25.6952391,55.86573005,0.934974569,1.019297828,57883.369,3.040406477,5,6.197275,0.02589222,473358.4215,473.3584215,2125.704,2.125704,18,5,2021,3,0.1,26.4,0.325,2977,0.7643,0.9615,110,44.35015583,0.91514652,2,21.642221,0.983236644,0,0,18.01,13.12,0.34,0.0034,0.02249222,0.0225
1,18-05-2021,archippus,2,11,archippus11,1,8.320485241,15.47514268,0.830139353,0.908066063,57033.493,3.040406477,5,6.197275,0.02589222,473358.4215,473.3584215,2125.704,2.125704,18,5,2021,3,0.1,26.4,0.325,2977,0.7643,0.9615,110,3.085507415,0.811815376,3,3.4943202,0.874740353,0,0,0,13.12,0.34,0.0034,0.02249222,0.0225
1,18-05-2021,atalanta,2,11,atalanta11,1,16.64651856,35.75900493,0.867241029,0.951906715,57883.369,3.040406477,5,6.197275,0.02589222,473358.4215,473.3584215,2125.704,2.125704,18,5,2021,3,0.1,26.4,0.325,2977,0.7643,0.9615,110,18.30601547,0.847332423,4,12.3370816,0.915699052,0,0,10.22,13.12,0.34,0.0034,0.02249222,0.0225
1,18-05-2021,augustinus,2,11,augustinus11,1,41.20293598,79.14320984,1.003403246,1.119180232,32146.744,3.040406477,5,6.197275,0.02589222,473358.4215,473.3584215,2125.704,2.125704,18,5,2021,3,0.1,26.4,0.325,2977,0.7643,0.9615,110,65.50475779,0.976179013,5,34.3744808,1.069667681,1,1,34.06,13.12,0.34,0.0034,0.02249222,0.0225
1,18-05-2021,baptisiae,2,11,baptisiae11,1,22.74023218,50.3562117,0.866677778,0.998276574,34149.44,3.040406477,5,6.197275,0.02589222,473358.4215,473.3584215,2125.704,2.125704,18,5,2021,3,0.1,26.4,0.325,2977,0.7643,0.9615,110,38.70889173,0.835733146,6,19.0967655,0.941997754,0,0,15.23,13.12,0.34,0.0034,0.02249222,0.0225
1,18-05-2021,bellona,2,11,bellona11,1,27.66446117,59.40293716,0.944891163,1.033279346,57033.493,3.040406477,5,6.197275,0.02589222,473358.4215,473.3584215,2125.704,2.125704,18,5,2021,3,0.1,26.4,0.325,2977,0.7643,0.9615,110,48.13258714,0.924107236,7,23.3634661,0.99547974,0,0,19.93,13.12,0.34,0.0034,0.02249222,0.0225
1,18-05-2021,bimacula,2,11,bimacula11,1,26.05208867,56.48072803,0.871358652,1.044351134,57033.493,3.040406477,5,6.197275,0.02589222,473358.4215,473.3584215,2125.704,2.125704,18,5,2021,3,0.1,26.4,0.325,2977,0.7643,0.9615,110,45.00943809,0.830680554,8,21.9478634,0.970370117,0,0,18.36,13.12,0.34,0.0034,0.02249222,0.0225
1,18-05-2021,cocyta,2,11,cocyta11,1,51.31371544,89.61146077,1.047160572,1.169199406,57883.369,3.040406477,5,6.197275,0.02589222,473358.4215,473.3584215,2125.704,2.125704,18,5,2021,3,0.1,26.4,0.325,2977,0.7643,0.9615,110,78.88470033,1.018463905,9,43.0947054,1.117008947,0,0,45.02,13.12,0.34,0.0034,0.02249222,0.0225
1,18-05-2021,comyntas,2,11,comyntas11,1,16.77147963,36.1525815,0.860167945,0.949935071,57883.369,3.040406477,5,6.197275,0.02589222,473358.4215,473.3584215,2125.704,2.125704,18,5,2021,3,0.1,26.4,0.325,2977,0.7643,0.9615,110,18.70512757,0.839059767,10,12.4941046,0.911545754,0,0,10.31,13.12,0.34,0.0034,0.02249222,0.0225
